,X1
15/08/2012 16:10,20
15/08/2012 16:12,20
15/08/2012 16:14,20
15/08/2012 16:16,20
15/08/2012 16:18,20
15/08/2012 16:20,20
15/08/2012 16:22,20
15/08/2012 16:24,20
15/08/2012 16:26,20
15/08/2012 16:28,20
15/08/2012 16:30,20
15/08/2012 16:32,20
15/08/2012 16:34,20
15/08/2012 16:36,20
15/08/2012 16:38,20
15/08/2012 16:40,20
15/08/2012 16:42,20
15/08/2012 16:44,20
15/08/2012 16:46,20
15/08/2012 16:48,20
15/08/2012 16:50,20
15/08/2012 16:52,20
15/08/2012 16:54,20
15/08/2012 16:56,20
15/08/2012 16:58,20
15/08/2012 17:00,20
15/08/2012 17:02,20
15/08/2012 17:04,20
15/08/2012 17:06,20
15/08/2012 17:08,20
15/08/2012 17:10,20
15/08/2012 17:12,20
15/08/2012 17:14,20
15/08/2012 17:16,20
15/08/2012 17:18,20
15/08/2012 17:20,20
15/08/2012 17:22,20
15/08/2012 17:24,20
15/08/2012 17:26,20
15/08/2012 17:28,20
15/08/2012 17:30,20
15/08/2012 17:32,20
15/08/2012 17:34,20
15/08/2012 17:36,20
15/08/2012 17:38,20
15/08/2012 17:40,20
15/08/2012 17:42,20
15/08/2012 17:44,20
15/08/2012 17:46,20
15/08/2012 17:48,20
15/08/2012 17:50,20
15/08/2012 17:52,20
15/08/2012 17:54,20
15/08/2012 17:56,20
15/08/2012 17:58,20
15/08/2012 18:00,20
15/08/2012 18:02,20
15/08/2012 18:04,20
15/08/2012 18:06,20
15/08/2012 18:08,20
15/08/2012 18:10,20
